Sequence Id,Sample Id,Location,Location+Start
DQ203570.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203569.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203568.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203567.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203566.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203560.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203559.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203557.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203556.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203555.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203554.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203552.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203551.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203550.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203548.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203545.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203544.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203541.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203540.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203537.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203535.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203534.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203530.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203529.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203528.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203527.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203526.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203524.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203523.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203522.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203519.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203518.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203516.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203515.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203513.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203511.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203505.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203504.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203499.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203498.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203495.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203491.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203490.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ422332.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422328.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422321.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422319.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422318.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422317.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422313.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422311.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422306.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422304.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422301.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422298.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
